"id";"period";"subject";"municipality";"settlement";"oktmo";"water_body";"indicator";"hazard_class";"cnt_cases";"value_min";"value_max";"unit"
1;2008-01-31;Камчатский край;Усть-Камчатский район;п. Козыревск;"30619405101";р. Камчатка;Кадмий;"2";1;6;6;ПДК
2;2008-01-31;Курганская область;Курган;г. Курган;"37701000001";вдхр. Курганское;Марганец;"4";1;60;60;ПДК
3;2008-01-31;Московская область;Королёв;г. Королев;"46734000001";ручей, впадающий в реку Клязьму;Нефть и нефтепродукты;"3";8;71;100;ПДК
4;2008-01-31;Мурманская область;Печенгский муниципальный район;пгт. Никель;"47515000051";р. Колос-Йоки;Никель;"3";1;60;60;ПДК
5;2008-01-31;Мурманская область;Городской округ город Мончегорск с подведомственной территорией;г. Мончегорск;"47715000111";р. Нюдуай;Водородный показатель (pH);"";1;9.9;9.9;pH
6;2008-01-31;Омская область;Крутинский район;рп. Крутинка;"52626151051";оз. Ик;Марганец;"4";1;85;85;ПДК
7;2008-01-31;Омская область;Усть-Ишимский район;с. Усть-Ишим;"52657432101";р. Ишим;Марганец;"4";1;54;54;ПДК
8;2008-01-31;Оренбургская область;Медногорск;г. Медногорск;"53715000001";р. Блява;Медь;"3";1;155;155;ПДК
9;2008-01-31;Пермский край;NaN;NaN;NaN;р. Вильва;Марганец;"4";1;122;122;ПДК
10;2008-01-31;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Марганец;"4";1;895;895;ПДК
11;2008-01-31;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Железо общее;"4";1;2890;2890;ПДК
12;2008-01-31;Пермский край;Губаха;г. Губаха;"57717000001";р. Косьва;Железо общее;"4";1;73;73;ПДК
13;2008-01-31;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Марганец;"4";1;135;135;ПДК
14;2008-01-31;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Железо общее;"4";1;180;180;ПДК
15;2008-01-31;Сахалинская область;городской округ Город Южно-Сахалинск;г. Южно-Сахалинск;"64701000001";р. Сусуя;Сульфиды и сероводород;"4";1;0.0008;0.0008;мг/л
16;2008-01-31;Сахалинская область;Поронайский городской округ;г. Поронайск;"64740000001";р. Черная;Марганец;"4";1;68;68;ПДК
17;2008-01-31;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Исеть;Нитрит-ионы;"4э";1;73;73;ПДК
18;2008-01-31;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Исеть;Взвешенные вещества;"";1;110;110;ПДК
19;2008-01-31;Свердловская область;город Каменск-Уральский;г. Каменск-Уральский;"65740000001";р. Исеть;Нитрит-ионы;"4э";1;128;128;ПДК
20;2008-01-31;Свердловская область;город Каменск-Уральский;г. Каменск-Уральский;"65740000001";р. Исеть;Нитрит-ионы;"4э";1;75;75;ПДК
21;2008-01-31;Свердловская область;Белоярский городской округ;с. Колюткино;"65706000201";р. Исеть;Нитрит-ионы;"4э";1;184;184;ПДК
22;2008-01-31;Свердловская область;Невьянский городской округ;г. Невьянск;"65714000001";р. Нейва;Марганец;"4";1;55;55;ПДК
23;2008-01-31;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Патрушиха;Марганец;"4";1;76;76;ПДК
24;2008-01-31;Свердловская область;Берёзовский городской округ;г. Березовский;"65731000001";р. Пышма;Марганец;"4";1;79;79;ПДК
25;2008-01-31;Свердловская область;Берёзовский городской округ;г. Березовский;"65731000001";р. Пышма;Нитрит-ионы;"4э";1;116;116;ПДК
26;2008-01-31;Свердловская область;городской округ Верхний Тагил;г. Верхний Тагил;"65733000001";р. Тагил;Марганец;"4";1;77;77;ПДК
27;2008-01-31;Свердловская область;Слободо-Туринский муниципальный район;с. Тимофеево;"65639460161";р. Тура;Марганец;"4";1;62;62;ПДК
28;2008-01-31;Свердловская область;Слободо-Туринский муниципальный район;с. Тимофеево;"65639460161";р. Тура;Растворенный кислород;"";1;1.19;1.19;мг/л
29;2008-01-31;Свердловская область;Слободо-Туринский муниципальный район;с. Тимофеево;"65639460161";р. Тура;Марганец;"4";1;52;52;ПДК
30;2008-01-31;Тюменская область;Салехард;г. Салехард;"71951000001";р. Полуй;Растворенный кислород;"";1;1.95;1.95;мг/л
31;2008-01-31;Тюменская область;Пуровский муниципальный район;пгт. Уренгой;"71920159051";р. Пур;Железо общее;"4";1;69;69;ПДК
32;2008-02-29;Вологодская область;Сокольский район;г. Сокол;"19638101001";р. Пельшма;Лигносульфонаты;"4";1;84;84;ПДК
33;2008-02-29;Вологодская область;Сокольский район;г. Сокол;"19638101001";р. Пельшма;БПК5;"";1;27;27;ПДК
34;2008-02-29;Кемеровская область - Кузбасс;Гурьевский район;г. Гурьевск;"32502000001";р. Малый Бачат;Марганец;"4";1;50;50;ПДК
35;2008-02-29;Курганская область;Курган;г. Курган;"37701000001";вдхр. Курганское;Марганец;"4";1;92;92;ПДК
36;2008-02-29;Курганская область;Курган;г. Курган;"37701000001";р. Тобол;Марганец;"4";1;70;70;ПДК
37;2008-02-29;Курганская область;Курган;г. Курган;"37701000001";р. Тобол;Марганец;"4";1;68;68;ПДК
38;2008-02-29;Курганская область;Белозерский район;с. Белозерское;"37604408101";р. Тобол;Марганец;"4";1;54;54;ПДК
39;2008-02-29;Курганская область;Звериноголовский район;с. Звериноголовское;"37609418101";р. Тобол;Марганец;"4";1;100;100;ПДК
40;2008-02-29;Московская область;Королёв;г. Королев;"46734000001";ручей, впадающий в реку Клязьму;Нефть и нефтепродукты;"3";3;72;90;ПДК
41;2008-02-29;Мурманская область;Печенгский муниципальный район;пгт. Никель;"47515000051";р. Колос-Йоки;Никель;"3";1;59;59;ПДК
42;2008-02-29;Омская область;Калачинский район;г. Калачинск;"52618101001";р. Омь;Марганец;"4";1;60;60;ПДК
43;2008-02-29;Омская область;Калачинский район;г. Калачинск;"52618101001";р. Омь;Марганец;"4";1;62;62;ПДК
44;2008-02-29;Омская область;Тарский район;с. Васисс;"52654407101";р. Шиш;Марганец;"4";1;100;100;ПДК
45;2008-02-29;Оренбургская область;Медногорск;г. Медногорск;"53715000001";р. Блява;Медь;"3";1;109;109;ПДК
46;2008-02-29;Пермский край;Соликамск;г. Соликамск;"57730000001";вдхр. Камское;Марганец;"4";1;56;56;ПДК
47;2008-02-29;Пермский край;NaN;NaN;NaN;р. Вильва;Марганец;"4";1;94;94;ПДК
48;2008-02-29;Пермский край;NaN;NaN;NaN;р. Вильва;Железо общее;"4";1;388;388;ПДК
49;2008-02-29;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Железо общее;"4";1;2660;2660;ПДК
50;2008-02-29;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Марганец;"4";1;750;750;ПДК
51;2008-02-29;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Марганец;"4";1;150;150;ПДК
52;2008-02-29;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Железо общее;"4";1;277;277;ПДК
53;2008-02-29;Приморский край;Артёмовский;г. Артем;"05705000001";р. Кневичанка;Сульфиды и сероводород;"4";1;0.0045;0.0045;мг/л
54;2008-02-29;Сахалинская область;Поронайский городской округ;г. Поронайск;"64740000001";р. Поронай;Кадмий;"2";1;18;18;ПДК
55;2008-02-29;Свердловская область;Ирбитское муниципальное образование;г. Ирбит;"65739000";р. Ирбит;Марганец;"4";1;52;52;ПДК
56;2008-02-29;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Исеть;Взвешенные вещества;"";1;163;163;ПДК
57;2008-02-29;Свердловская область;Невьянский городской округ;г. Невьянск;"65714000001";р. Нейва;Марганец;"4";1;61;61;ПДК
58;2008-02-29;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Патрушиха;Марганец;"4";1;68;68;ПДК
59;2008-02-29;Свердловская область;Тавдинский городской округ;г. Тавда;"65723000001";р. Тавда;Марганец;"4";1;71;71;ПДК
60;2008-02-29;Свердловская область;Тавдинский городской округ;г. Тавда;"65723000001";р. Тавда;Марганец;"4";1;140;140;ПДК
61;2008-02-29;Свердловская область;городской округ Верхний Тагил;г. Верхний Тагил;"65733000001";р. Тагил;Марганец;"4";1;65;65;ПДК
62;2008-02-29;Свердловская область;Слободо-Туринский муниципальный район;с. Тимофеево;"65639460161";р. Тура;Марганец;"4";1;51;51;ПДК
63;2008-02-29;Тюменская область;Тобольский район;д. Чукманка;"71642420131";р. Аремзянка;Марганец;"4";1;72;72;ПДК
64;2008-02-29;Тюменская область;Пуровский муниципальный район;пгт. Уренгой;"71920159051";р. Пур;Железо общее;"4";1;62;62;ПДК
65;2008-02-29;Тюменская область;Тобольск;г. Тобольск;"71710000001";р. Тобол;Марганец;"4";1;51;51;ПДК
66;2008-02-29;Тюменская область;Заводоуковский район;г. Заводоуковск;"71703000001";р. Ук;Марганец;"4";1;65;65;ПДК
67;2008-02-29;Челябинская область;Целинный район;с. Усть-Уйское;"37634448101";р. Уй;Марганец;"4";1;59;59;ПДК
68;2008-03-31;Амурская область;Райчихинск;г. Райчихинск;"10720000001";р. Кивда;Марганец;"4";1;62;62;ПДК
69;2008-03-31;Архангельская область;Архангельск;г. Архангельск;"11701000001";прот. Кузнечиха реки Северная Двина;Ртуть;"1";1;46;46;ПДК
70;2008-03-31;Архангельская область;Архангельск;г. Архангельск;"11701000001";прот. Кузнечиха реки Северная Двина;Ртуть;"1";1;40;40;ПДК
71;2008-03-31;Архангельская область;Лешуконский муниципальный район;д. Малая Нисогора;"11638408126";р. Мезень;Марганец;"4";1;146;146;ПДК
72;2008-03-31;Архангельская область;Онежский муниципальный район;с. Порог;"11646436101";р. Онега;Марганец;"4";1;122;122;ПДК
73;2008-03-31;Архангельская область;Новодвинск;г. Новодвинск;"11715000001";р. Северная Двина;Ртуть;"1";1;12;12;ПДК
74;2008-03-31;Архангельская область;Новодвинск;г. Новодвинск;"11715000001";р. Северная Двина;Ртуть;"1";1;25;25;ПДК
75;2008-03-31;Архангельская область;Приморский муниципальный район;д. Трепузово;"11652406246";р. Северная Двина;Ртуть;"1";1;13;13;ПДК
76;2008-03-31;Архангельская область;Приморский муниципальный район;п. Уемский;"11652466101";р. Уемлянка;Ртуть;"1";1;233;233;ПДК
77;2008-03-31;Вологодская область;Сокольский район;г. Сокол;"19638101001";р. Пельшма;БПК5;"";1;31;31;ПДК
78;2008-03-31;Забайкальский край;NaN;NaN;NaN;р. Аргунь;Марганец;"4";1;1079;1079;ПДК
79;2008-03-31;Забайкальский край;NaN;NaN;NaN;р. Аргунь;Ртуть;"1";1;18;18;ПДК
80;2008-03-31;Камчатский край;Усть-Камчатский район;п. Козыревск;"30619405101";р. Камчатка;Кадмий;"2";1;6;6;ПДК
81;2008-03-31;Красноярский край;Минусинский район;с. Большая Иня;"04633402106";оз. Большое Кызыкульское;Сульфиды и сероводород;"4";1;0.082;0.082;мг/л
82;2008-03-31;Курганская область;Курган;г. Курган;"37701000001";вдхр. Курганское;Марганец;"4";1;120;120;ПДК
83;2008-03-31;Курганская область;Курган;г. Курган;"37701000001";р. Тобол;Марганец;"4";1;72;72;ПДК
84;2008-03-31;Курганская область;Курган;г. Курган;"37701000001";р. Тобол;Марганец;"4";1;88;88;ПДК
85;2008-03-31;Курганская область;Белозерский район;с. Белозерское;"37604408101";р. Тобол;Марганец;"4";1;60;60;ПДК
86;2008-03-31;Курганская область;Звериноголовский район;с. Звериноголовское;"37609418101";р. Тобол;Марганец;"4";1;56;56;ПДК
87;2008-03-31;Мурманская область;Городской округ город Кировск с подведомственной территорией;г. Кировск;"47712000001";оз. Большой Вудъявр;Молибден;"2";1;10;10;ПДК
88;2008-03-31;Мурманская область;Печенгский муниципальный район;пгт. Никель;"47515000051";р. Колос-Йоки;Никель;"3";1;56;56;ПДК
89;2008-03-31;Новосибирская область;Новосибирск;г. Новосибирск;"50701000001";р. Каменка;Сульфиды и сероводород;"4";1;0.00071;0.00071;мг/л
90;2008-03-31;Новосибирская область;Новосибирск;г. Новосибирск;"50701000001";р. Каменка;Нефть и нефтепродукты;"3";1;100;100;ПДК
91;2008-03-31;Новосибирская область;Новосибирск;г. Новосибирск;"50701000001";р. Тула;Нефть и нефтепродукты;"3";1;70;70;ПДК
92;2008-03-31;Омская область;Муромцевский район;с. Костино;"52634417101";р. Артынка;Марганец;"4";1;63;63;ПДК
93;2008-03-31;Омская область;Калачинский район;г. Калачинск;"52618101001";р. Омь;Марганец;"4";1;126;126;ПДК
94;2008-03-31;Омская область;Калачинский район;г. Калачинск;"52618101001";р. Омь;Марганец;"4";1;128;128;ПДК
95;2008-03-31;Омская область;Омск;г. Омск;"52701000001";р. Омь;Марганец;"4";1;81;81;ПДК
96;2008-03-31;Омская область;Омск;г. Омск;"52701000001";р. Омь;Марганец;"4";1;81;81;ПДК
97;2008-03-31;Омская область;Муромцевский район;рп. Муромцево;"52634151051";р. Тара;Марганец;"4";1;82;82;ПДК
98;2008-03-31;Оренбургская область;Медногорск;г. Медногорск;"53715000001";р. Блява;Медь;"3";1;146;146;ПДК
99;2008-03-31;Пермский край;NaN;NaN;NaN;р. Вильва;Железо общее;"4";1;333;333;ПДК
100;2008-03-31;Пермский край;NaN;NaN;NaN;р. Вильва;Марганец;"4";1;88;88;ПДК
101;2008-03-31;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Железо общее;"4";1;2380;2380;ПДК
102;2008-03-31;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Марганец;"4";1;717;717;ПДК
103;2008-03-31;Пермский край;Губаха;г. Губаха;"57717000001";р. Косьва;Железо общее;"4";1;58;58;ПДК
104;2008-03-31;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Железо общее;"4";1;286;286;ПДК
105;2008-03-31;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Марганец;"4";1;146;146;ПДК
106;2008-03-31;Пермский край;Чусовской район;г. Чусовой;"57758000001";р. Чусовая;Марганец;"4";1;65;65;ПДК
107;2008-03-31;Сахалинская область;городской округ Город Южно-Сахалинск;г. Южно-Сахалинск;"64701000001";р. Красносельская;Нитрит-ионы;"4э";1;73;73;ПДК
108;2008-03-31;Сахалинская область;городской округ Охинский;г. Оха;"64736000001";р. Охинка;Нефть и нефтепродукты;"3";1;98;98;ПДК
109;2008-03-31;Сахалинская область;городской округ Город Южно-Сахалинск;г. Южно-Сахалинск;"64701000001";р. Сусуя;Сульфиды и сероводород;"4";1;0.002;0.002;мг/л
110;2008-03-31;Свердловская область;Невьянский городской округ;г. Невьянск;"65714000001";р. Нейва;Марганец;"4";1;66;66;ПДК
111;2008-03-31;Свердловская область;Невьянский городской округ;г. Невьянск;"65714000001";р. Нейва;Марганец;"4";1;57;57;ПДК
112;2008-03-31;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Патрушиха;Марганец;"4";1;69;69;ПДК
113;2008-03-31;Свердловская область;Тавдинский городской округ;г. Тавда;"65723000001";р. Тавда;Марганец;"4";1;190;190;ПДК
114;2008-03-31;Свердловская область;Тавдинский городской округ;г. Тавда;"65723000001";р. Тавда;Марганец;"4";1;130;130;ПДК
115;2008-03-31;Свердловская область;городской округ Верхний Тагил;г. Верхний Тагил;"65733000001";р. Тагил;Марганец;"4";1;60;60;ПДК
116;2008-03-31;Свердловская область;Слободо-Туринский муниципальный район;с. Тимофеево;"65639460161";р. Тура;Марганец;"4";1;56;56;ПДК
117;2008-03-31;Тюменская область;Тобольск;г. Тобольск;"71710000001";р. Иртыш;Нефть и нефтепродукты;"3";1;70;70;ПДК
118;2008-03-31;Тюменская область;Салехард;г. Салехард;"71951000001";р. Обь;Растворенный кислород;"";1;1.93;1.93;мг/л
119;2008-03-31;Тюменская область;Салехард;г. Салехард;"71951000001";р. Полуй;Растворенный кислород;"";1;1.61;1.61;мг/л
120;2008-03-31;Тюменская область;Салехард;г. Салехард;"71951000001";р. Полуй;Растворенный кислород;"";1;1.93;1.93;мг/л
121;2008-03-31;Тюменская область;Пуровский муниципальный район;пгт. Уренгой;"71920159051";р. Пур;Марганец;"4";1;75;75;ПДК
122;2008-03-31;Хабаровский край;имени Полины Осипенко;нп. Гидрологический Пост Тимченко;"08637000";р. Нимелен;Железо общее;"4";1;68;68;ПДК
123;2008-03-31;Челябинская область;NaN;с. Степное;NaN;р. Уй;Марганец;"4";1;52;52;ПДК
124;2008-04-30;Архангельская область;Лешуконский муниципальный район;д. Малая Нисогора;"11638408126";р. Мезень;Марганец;"4";1;170;170;ПДК
125;2008-04-30;Камчатский край;Усть-Камчатский район;п. Козыревск;"30619405101";р. Камчатка;Кадмий;"2";1;6;6;ПДК
126;2008-04-30;Кемеровская область - Кузбасс;Гурьевский район;г. Гурьевск;"32502000001";р. Малый Бачат;Цинк;"3";1;78;78;ПДК
127;2008-04-30;Кемеровская область - Кузбасс;Гурьевский район;г. Гурьевск;"32502000001";р. Малый Бачат;Цинк;"3";1;59;59;ПДК
128;2008-04-30;Кемеровская область - Кузбасс;Гурьевский район;г. Гурьевск;"32502000001";р. Малый Бачат;Марганец;"4";1;55;55;ПДК
129;2008-04-30;Курганская область;NaN;NaN;NaN;р. Синара;Взвешенные вещества;"";1;68;68;ПДК
130;2008-04-30;Курганская область;Белозерский район;с. Белозерское;"37604408101";р. Тобол;Марганец;"4";1;66;66;ПДК
131;2008-04-30;Курганская область;Звериноголовский район;с. Звериноголовское;"37609418101";р. Тобол;Взвешенные вещества;"";1;65;65;ПДК
132;2008-04-30;Мурманская область;Городской округ город Кировск с подведомственной территорией;г. Кировск;"47712000001";оз. Большой Вудъявр;Молибден;"2";1;13;13;ПДК
133;2008-04-30;Мурманская область;Городской округ город Апатиты с подведомственной территорией;г. Апатиты;"47705000001";р. Белая;Молибден;"2";1;12;12;ПДК
134;2008-04-30;Мурманская область;Печенгский муниципальный район;пгт. Никель;"47515000051";р. Колос-Йоки;Никель;"3";1;61;61;ПДК
135;2008-04-30;Мурманская область;Печенгский муниципальный район;нп. Луостари;"47615406116";р. Нама-Йоки;Дитиофосфат крезиловый;"4";1;60;60;ПДК
136;2008-04-30;Мурманская область;Городской округ город Мончегорск с подведомственной территорией;г. Мончегорск;"47715000111";р. Нюдуай;Медь;"3";1;84;84;ПДК
137;2008-04-30;Мурманская область;Печенгский муниципальный район;нп. Корзуново;"47615406101";р. Печенга;Дитиофосфат крезиловый;"4";1;50;50;ПДК
138;2008-04-30;Мурманская область;Городской округ город Мурманск;г. Мурманск;"47701000001";руч. Варничный;Нефть и нефтепродукты;"3";1;53;53;ПДК
139;2008-04-30;Новосибирская область;Искитим;г. Искитим;"50712000001";р. Бердь;Ртуть;"1";1;19;19;ПДК
140;2008-04-30;Новосибирская область;Искитим;г. Искитим;"50712000001";р. Бердь;Ртуть;"1";1;6;6;ПДК
141;2008-04-30;Новосибирская область;Новосибирск;г. Новосибирск;"50701000001";р. Каменка;Сульфиды и сероводород;"4";1;0.00103;0.00103;мг/л
142;2008-04-30;Новосибирская область;Новосибирск;г. Новосибирск;"50701000001";р. Камышенка;Нефть и нефтепродукты;"3";1;142;142;ПДК
143;2008-04-30;Омская область;Калачинский район;г. Калачинск;"52618101001";р. Омь;Марганец;"4";1;98;98;ПДК
144;2008-04-30;Оренбургская область;Медногорск;г. Медногорск;"53715000001";р. Блява;Медь;"3";1;169;169;ПДК
145;2008-04-30;Оренбургская область;Медногорск;г. Медногорск;"53715000001";р. Блява;Медь;"3";1;218;218;ПДК
146;2008-04-30;Пермский край;Пермь;г. Пермь;"57701000001";вдхр. Воткинское;Взвешенные вещества;"";1;645;645;ПДК
147;2008-04-30;Пермский край;Пермь;г. Пермь;"57701000001";вдхр. Камское;Взвешенные вещества;"";1;75;75;ПДК
148;2008-04-30;Пермский край;Чернушинский район;г. Чернушка;"57757000001";р. Быстрый Танып;Взвешенные вещества;"";1;90;90;ПДК
149;2008-04-30;Пермский край;Кудымкар;г. Кудымкар;"57851000001";р. Иньва;Взвешенные вещества;"";1;52;52;ПДК
150;2008-04-30;Пермский край;NaN;д. Шубино;NaN;р. Ирень;Взвешенные вещества;"";1;171;171;ПДК
151;2008-04-30;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Марганец;"4";1;58;58;ПДК
152;2008-04-30;Пермский край;Кизеловский район;г. Кизел;"57719000001";р. Кизел;Железо общее;"4";1;720;720;ПДК
153;2008-04-30;Пермский край;Лысьва;г. Лысьва;"57726000001";р. Лысьва;Взвешенные вещества;"";1;62;62;ПДК
154;2008-04-30;Пермский край;Карагайский район;с. Рождественск;"57622434101";р. Обва;Взвешенные вещества;"";1;58;58;ПДК
155;2008-04-30;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Железо общее;"4";1;146;146;ПДК
156;2008-04-30;Пермский край;Александровский район;рп. Всеволодо-Вильва;"57605154051";р. Северная Вильва;Марганец;"4";1;58;58;ПДК
157;2008-04-30;Пермский край;Кунгур;г. Кунгур;"57722000001";р. Сылва;Взвешенные вещества;"";1;178;178;ПДК
158;2008-04-30;Пермский край;Кунгур;г. Кунгур;"57722000001";р. Сылва;Взвешенные вещества;"";1;145;145;ПДК
159;2008-04-30;Самарская область;Чапаевск;г. Чапаевск;"36750000001";р. Чапаевка;ГХЦГ;"1";1;4;4;ПДК
160;2008-04-30;Сахалинская область;городской округ Охинский;г. Оха;"64736000001";р. Охинка;Нефть и нефтепродукты;"3";1;134;134;ПДК
161;2008-04-30;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Исеть;Взвешенные вещества;"";1;71;71;ПДК
162;2008-04-30;Свердловская область;Белоярский городской округ;с. Колюткино;"65706000201";р. Исеть;Взвешенные вещества;"";1;51;51;ПДК
163;2008-04-30;Свердловская область;Невьянский городской округ;г. Невьянск;"65714000001";р. Нейва;Марганец;"4";1;73;73;ПДК
164;2008-04-30;Свердловская область;Невьянский городской округ;г. Невьянск;"65714000001";р. Нейва;Марганец;"4";1;91;91;ПДК
165;2008-04-30;Свердловская область;Берёзовский городской округ;г. Березовский;"65731000001";р. Пышма;Взвешенные вещества;"";1;59;59;ПДК
166;2008-04-30;Свердловская область;Берёзовский городской округ;г. Березовский;"65731000001";р. Пышма;Марганец;"4";1;66;66;ПДК
167;2008-04-30;Свердловская область;Камышловский городской округ;г. Камышлов;"65741000001";р. Пышма;Взвешенные вещества;"";1;114;114;ПДК
168;2008-04-30;Свердловская область;Талицкий городской округ;г. Талица;"65724000001";р. Пышма;Взвешенные вещества;"";1;60;60;ПДК
169;2008-04-30;Свердловская область;Режевской городской округ;г. Реж;"65720000001";р. Реж;Взвешенные вещества;"";1;116;116;ПДК
170;2008-04-30;Свердловская область;Далматовский район;с. Першинское;"37608467101";р. Теча;Взвешенные вещества;"";1;99;99;ПДК
171;2008-04-30;Тюменская область;Тобольский район;д. Чукманка;"71642420131";р. Аремзянка;Марганец;"4";1;55;55;ПДК
172;2008-04-30;Тюменская область;Тобольск;г. Тобольск;"71710000001";р. Иртыш;Нефть и нефтепродукты;"3";1;121;121;ПДК
173;2008-04-30;Тюменская область;Салехард;г. Салехард;"71951000001";р. Обь;Растворенный кислород;"";1;1.61;1.61;мг/л
174;2008-04-30;Тюменская область;Абатский район;д. Горки;"71603410116";р. Обь;Марганец;"4";1;61;61;ПДК
175;2008-04-30;Тюменская область;Салехард;г. Салехард;"71951000001";р. Полуй;Растворенный кислород;"";1;1.28;1.28;мг/л
176;2008-04-30;Тюменская область;Салехард;г. Салехард;"71951000001";р. Полуй;Растворенный кислород;"";1;0.64;0.64;мг/л
177;2008-04-30;Тюменская область;Пуровский муниципальный район;пгт. Уренгой;"71920159051";р. Пур;Железо общее;"4";1;63;63;ПДК
178;2008-04-30;Тюменская область;Пуровский муниципальный район;г. Тарко-Сале;"71920105001";р. Пяку-Пур;Марганец;"4";1;58;58;ПДК
179;2008-04-30;Тюменская область;Тюменский район;с. Салаирка;"71644470101";р. Тура;Марганец;"4";1;116;116;ПДК
180;2008-04-30;Удмуртская Республика;Граховский;с. Грахово;"94612422101";р. Адамка;Взвешенные вещества;"";1;117;117;ПДК
181;2008-04-30;Удмуртская Республика;Граховский;с. Грахово;"94612422101";р. Адамка;Взвешенные вещества;"";1;249;249;ПДК
182;2008-04-30;Удмуртская Республика;Граховский;с. Грахово;"94612422101";р. Адамка;Взвешенные вещества;"";1;464;464;ПДК
183;2008-04-30;Удмуртская Республика;Сарапул;г. Сарапул;"94740000001";р. Кама;Взвешенные вещества;"";1;139;139;ПДК
184;2008-04-30;Удмуртская Республика;Сарапул;г. Сарапул;"94740000001";р. Кама;Взвешенные вещества;"";1;84;84;ПДК
185;2008-04-30;Удмуртская Республика;Игринский;п. Игра;"94618415101";р. Лоза;Взвешенные вещества;"";1;115;115;ПДК
186;2008-04-30;Удмуртская Республика;Воткинский;д. Гавриловка;"94608420101";р. Сива;Взвешенные вещества;"";1;206;206;ПДК
187;2008-04-30;Удмуртская Республика;Воткинский;д. Гавриловка;"94608420101";р. Сива;Взвешенные вещества;"";1;53;53;ПДК
188;2008-04-30;Удмуртская Республика;Воткинский;д. Гавриловка;"94608420101";р. Сива;Взвешенные вещества;"";1;181;181;ПДК
189;2008-04-30;Удмуртская Республика;Глазов;г. Глазов;"94720000001";р. Чепца;Взвешенные вещества;"";1;80;80;ПДК
190;2008-04-30;Удмуртская Республика;Кезский;с. Полом;"94624455101";р. Чепца;Взвешенные вещества;"";1;83;83;ПДК
191;2008-04-30;Хабаровский край;Хабаровский;с. Федоровка;"08655443136";р. Березовая;Растворенный кислород;"";1;0.0;0.0;мг/л
192;2008-04-30;Челябинская область;Карабашский;г. Карабаш;"75715000001";вдхр. Аргазинское;Марганец;"4";1;60;60;ПДК
193;2008-04-30;Ямало-Ненецкий автономный округ (Тюменская область);Красноселькупский муниципальный район;с. Красноселькуп;"71634411106";р. Таз;Марганец;"4";1;57;57;ПДК
194;2008-05-31;Архангельская область;Котласский муниципальный район;г. Сольвычегодск;"11627104001";р. Вычегда;Кадмий;"2";1;76;76;ПДК
195;2008-05-31;г. Санкт-Петербург;Санкт-Петербург;г. Санкт-Петербург;"40000000";р. Малая Нева;Кадмий;"2";1;6;6;ПДК
196;2008-05-31;г. Санкт-Петербург;Санкт-Петербург;г. Санкт-Петербург;"40000000";р. Черная Речка;Кадмий;"2";1;7;7;ПДК
197;2008-05-31;Курганская область;Шадринск;г. Шадринск;"37705000001";р. Исеть;Взвешенные вещества;"";1;175;175;ПДК
198;2008-05-31;Курганская область;Шадринск;г. Шадринск;"37705000001";р. Исеть;Взвешенные вещества;"";1;58;58;ПДК
199;2008-05-31;Курганская область;Шатровский район;с. Мехонское;"37640440101";р. Исеть;Взвешенные вещества;"";1;88;88;ПДК
200;2008-05-31;Курганская область;Далматовский район;с. Першинское;"37608467101";р. Теча;Взвешенные вещества;"";1;70;70;ПДК
201;2008-05-31;Магаданская область;Ягоднинский;п. Оротукан;"44722000071";р. Оротукан;Взвешенные вещества;"";1;204;204;ПДК
202;2008-05-31;Мурманская область;Городской округ город Кировск с подведомственной территорией;г. Кировск;"47712000001";оз. Большой Вудъявр;Молибден;"2";1;14;14;ПДК
203;2008-05-31;Мурманская область;Городской округ город Апатиты с подведомственной территорией;г. Апатиты;"47705000001";оз. Имандра;Молибден;"2";1;11;11;ПДК
204;2008-05-31;Мурманская область;Городской округ город Мончегорск с подведомственной территорией;г. Мончегорск;"47715000111";оз. Мончеозеро;Медь;"3";1;38;38;ПДК
