"id";"period";"subject";"municipality";"settlement";"oktmo";"water_body";"indicator";"hazard_class";"cnt_cases";"value_min";"value_max";"unit"
7039;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.91;0.91;мг/л
7040;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.72;0.72;мг/л
7041;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.79;0.79;мг/л
7042;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.51;0.51;мг/л
7043;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.39;0.39;мг/л
7044;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.35;0.35;мг/л
7045;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.39;0.39;мг/л
7046;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.48;0.48;мг/л
7047;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.39;0.39;мг/л
7048;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.40;0.40;мг/л
7049;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.96;0.96;мг/л
7050;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.37;0.37;мг/л
7051;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.45;0.45;мг/л
7052;2020-09-30;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.36;0.36;мг/л
7053;2020-10-31;г. Москва;Москва;г. Москва;"45000000";р. Лихоборка;Нафталин;"3";1;233;233;ПДК
7054;2020-10-31;г. Москва;Москва;г. Москва;"45000000";р. Лихоборка;Этилацетат;"2";1;130;130;ПДК
7055;2020-10-31;г. Москва;Москва;г. Москва;"45000000";р. Лихоборка;Циклогексанол;"3";1;451;451;ПДК
7056;2020-10-31;г. Москва;Москва;г. Москва;"45000000";р. Лихоборка;БПК5;"";1;22;22;ПДК
7057;2020-10-31;г. Москва;Москва;г. Москва;"45000000";р. Лихоборка;Нефть и нефтепродукты;"3";1;100;100;ПДК
7058;2020-10-31;г. Москва;Москва;г. Москва;"45000000";р. Лихоборка;Ацетон;"3";1;7151;7151;ПДК
7059;2020-10-31;г. Москва;Москва;г. Москва;"45000000";р. Лихоборка;Изопропанол;"3";1;360;360;ПДК
7060;2020-10-31;г. Москва;Москва;г. Москва;"45000000";р. Лихоборка;Бензол;"1";1;62;62;ПДК
7061;2020-10-31;Кемеровская область - Кузбасс;Новокузнецкий;с. Красулино;"32619432101";р. Ускат;Нитрит-ионы;"4э";1;75;75;ПДК
7062;2020-10-31;Кемеровская область - Кузбасс;Новокузнецкий;с. Красулино;"32619432101";р. Ускат;Запах;"";1;5;5;балл
7063;2020-10-31;Кемеровская область - Кузбасс;Новокузнецкий;п. Недорезово;"32619432136";р. Ускат;Запах;"";1;5;5;балл
7064;2020-10-31;Кемеровская область - Кузбасс;Прокопьевский;с. Терентьевское;"32522000476";р. Ускат;Запах;"";1;5;5;балл
7065;2020-10-31;Курганская область;Частоозёрский район;с. Бутырино;"37636408101";оз. Бутырино;Взвешенные вещества;"";1;71;71;ПДК
7066;2020-10-31;Курганская область;Шадринск;г. Шадринск;"37705000001";р. Исеть;Взвешенные вещества;"";1;65;65;ПДК
7067;2020-10-31;Курганская область;Шадринск;г. Шадринск;"37705000001";р. Исеть;Взвешенные вещества;"";1;56;56;ПДК
7068;2020-10-31;Курганская область;Шатровский район;с. Мехонское;"37640440101";р. Исеть;Взвешенные вещества;"";1;68;68;ПДК
7069;2020-10-31;Мурманская область;Городской округ город Мончегорск с подведомственной территорией;г. Мончегорск;"47715000111";р. Нюдуай;Никель;"3";1;63;63;ПДК
7070;2020-10-31;Мурманская область;Кандалакшский муниципальный район;г. Кандалакша;"47608101001";ручей без названия;Алюминий;"4";1;51;51;ПДК
7071;2020-10-31;Мурманская область;Кандалакшский муниципальный район;г. Кандалакша;"47608101001";ручей без названия;Бенз(а)пирен;"1";1;9;9;ПДК
7072;2020-10-31;Мурманская область;Кандалакшский муниципальный район;г. Кандалакша;"47608101001";ручей без названия;Бенз(а)пирен;"1";1;33;33;ПДК
7073;2020-10-31;Ненецкий автономный округ (Архангельская область);Город Нарьян-Мар;г. Нарьян-Мар;"11851000001";пр. Городецкий Шар;Нефть и нефтепродукты;"3";1;59;59;ПДК
7074;2020-10-31;Ненецкий автономный округ (Архангельская область);Город Нарьян-Мар;г. Нарьян-Мар;"11851000001";р. Печора;Нефть и нефтепродукты;"3";1;84;84;ПДК
7075;2020-10-31;Ненецкий автономный округ (Архангельская область);Город Нарьян-Мар;г. Нарьян-Мар;"11851000001";р. Печора;Нефть и нефтепродукты;"3";1;62;62;ПДК
7076;2020-10-31;Ненецкий автономный округ (Архангельская область);Город Нарьян-Мар;г. Нарьян-Мар;"11851000001";р. Печора;Нефть и нефтепродукты;"3";1;101;101;ПДК
7077;2020-10-31;Ненецкий автономный округ (Архангельская область);Город Нарьян-Мар;г. Нарьян-Мар;"11851000001";р. Печора;Нефть и нефтепродукты;"3";1;61;61;ПДК
7078;2020-10-31;Ненецкий автономный округ (Архангельская область);Город Нарьян-Мар;г. Нарьян-Мар;"11851000001";р. Печора;Нефть и нефтепродукты;"3";1;57;57;ПДК
7079;2020-10-31;Ненецкий автономный округ (Архангельская область);Город Нарьян-Мар;г. Нарьян-Мар;"11851000001";р. Печора;Нефть и нефтепродукты;"3";1;102;102;ПДК
7080;2020-10-31;Ненецкий автономный округ (Архангельская область);Город Нарьян-Мар;г. Нарьян-Мар;"11851000001";р. Печора;Нефть и нефтепродукты;"3";1;54;54;ПДК
7081;2020-10-31;Нижегородская область;Дзержинск;г. Дзержинск;"22721000001";р. Ока;Взвешенные вещества;"";1;55;55;ПДК
7082;2020-10-31;Нижегородская область;Нижний Новгород;г. Нижний Новгород;"22701000001";р. Ока;Взвешенные вещества;"";1;54;54;ПДК
7083;2020-10-31;Нижегородская область;Богородский район;г. Богородск;"22507000001";р. Рязанка;Аммоний-ион;"4";1;260;260;ПДК
7084;2020-10-31;Нижегородская область;Богородский район;г. Богородск;"22507000001";р. Рязанка;Растворенный кислород;"";1;1.41;1.41;мг/л
7085;2020-10-31;Нижегородская область;Богородский район;г. Богородск;"22507000001";р. Рязанка;БПК5;"";1;63;63;ПДК
7086;2020-10-31;Нижегородская область;Богородский район;г. Богородск;"22507000001";р. Рязанка;Фенол;"3";1;120;120;ПДК
7087;2020-10-31;Новосибирская область;Новосибирск;г. Новосибирск;"50701000001";р. Тула;Марганец;"4";1;53;53;ПДК
7088;2020-10-31;Оренбургская область;Медногорск;г. Медногорск;"53715000001";р. Блява;Цинк;"3";1;76;76;ПДК
7089;2020-10-31;Республика Бурятия;Закаменский район;г. Закаменск;"81621101001";р. Модонкуль;Кадмий;"2";1;5;5;ПДК
7090;2020-10-31;Республика Бурятия;Закаменский район;г. Закаменск;"81621101001";р. Модонкуль;Кадмий;"2";1;5;5;ПДК
7091;2020-10-31;Республика Коми;Заполярный район;с. Оксино;"11811463101";р. Печора;Нефть и нефтепродукты;"3";1;93;93;ПДК
7092;2020-10-31;Самарская область;Самара;г. Самара;"36701000001";р. Падовка;Растворенный кислород;"";1;1.51;1.51;мг/л
7093;2020-10-31;Сахалинская область;городской округ Охинский;г. Оха;"64736000001";р. Охинка;Нефть и нефтепродукты;"3";1;61;61;ПДК
7094;2020-10-31;Сахалинская область;Углегорский городской округ;с. Краснополье;"64752000116";р. Углегорка;Железо общее;"4";1;58;58;ПДК
7095;2020-10-31;Свердловская область;городской округ Красноуральск;г. Красноуральск;"65746000001";р. Айва;Медь;"3";1;128;128;ПДК
7096;2020-10-31;Свердловская область;муниципальное образование «город Екатеринбург»;г. Екатеринбург;"65701000001";р. Исеть;Взвешенные вещества;"";1;77;77;ПДК
7097;2020-10-31;Свердловская область;город Каменск-Уральский;г. Каменск-Уральский;"65740000001";р. Исеть;Взвешенные вещества;"";1;64;64;ПДК
7098;2020-10-31;Свердловская область;город Каменск-Уральский;г. Каменск-Уральский;"65740000001";р. Исеть;Взвешенные вещества;"";1;65;65;ПДК
7099;2020-10-31;Свердловская область;Талицкий городской округ;г. Талица;"65724000001";р. Пышма;Взвешенные вещества;"";1;53;53;ПДК
7100;2020-10-31;Свердловская область;городской округ Ревда;г. Ревда;"65719000001";р. Ревда;Взвешенные вещества;"";1;56;56;ПДК
7101;2020-10-31;Свердловская область;городской округ Верхотурский;с. Прокопьевская Салда;"65709000346";р. Салда;Медь;"3";1;79;79;ПДК
7102;2020-10-31;Свердловская область;Тавдинский городской округ;г. Тавда;"65723000001";р. Тавда;Медь;"3";1;60;60;ПДК
7103;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.41;0.41;мг/л
7104;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.80;0.80;мг/л
7105;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.72;0.72;мг/л
7106;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.67;0.67;мг/л
7107;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.36;0.36;мг/л
7108;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.59;0.59;мг/л
7109;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.93;0.93;мг/л
7110;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.99;0.99;мг/л
7111;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.31;0.31;мг/л
7112;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.48;0.48;мг/л
7113;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.38;0.38;мг/л
7114;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.38;0.38;мг/л
7115;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.37;0.37;мг/л
7116;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.37;0.37;мг/л
7117;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.37;0.37;мг/л
7118;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.35;0.35;мг/л
7119;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.35;0.35;мг/л
7120;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.35;0.35;мг/л
7121;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.35;0.35;мг/л
7122;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.34;0.34;мг/л
7123;2020-10-31;Смоленская область;Вяземский район;г. Вязьма;"66605101001";р. Вязьма;Растворенный кислород;"";1;0.34;0.34;мг/л
